request_id,user_id,timestamp,page_name,action,page_load_times
08b0abf9-c128-4c52-aca6-b37a68b32d6c,405,2024-09-30 19:48:50,Home,click,2.8650900064814513
abfb7621-2294-402e-8a95-c5bac4c35874,908,2024-05-17 16:05:22,Checkout,view,2.535684034164254
40dc912a-1623-4c0b-9a95-003471d22635,1091,2024-08-13 07:28:58,Home,click,3.0646587691705403
5a91c65d-d9e5-4b8b-b2cd-ff8efe880304,487,2024-06-15 16:49:27,Home,view,2.7197164969666185
184ee8e4-1d9b-403c-99f2-f554129296e0,1824,2024-09-30 10:29:15,Product Catalog,view,3.4205797650474565
b7ad229f-3541-4510-81fd-84d7f7399a0f,891,2024-03-07 04:24:10,Product Catalog,click,3.150563200011069
ab944723-58a7-4977-9438-7b986f7049e6,699,2024-08-14 01:01:15,Home,view,4.607293445981255
22e235bc-ca66-452d-97fc-07a484bf0857,162,2024-05-05 09:08:55,Product Catalog,click,1.2918392654004438
873d2cbf-4516-49c1-93fe-af677da01579,358,2024-06-27 17:50:35,Home,click,1.9414630356520268
0ea26204-57bd-4439-8290-10d042fcbfc8,766,2024-12-21 09:31:39,Cart,click,1.184841057118164
6aa9417e-db2e-40d4-b9b5-9d762b45c248,1976,2024-10-04 23:12:31,Product Catalog,click,4.3265647712791475
f8383854-574c-4b03-9de3-a678f534b3f8,430,2024-04-24 11:56:04,Home,view,2.623469237896467
651fe7dc-0bb0-4253-9895-a13663e7be07,1830,2024-01-27 18:40:32,Cart,view,3.706857434146876
cbb3df9a-71f5-482e-be2a-8c8233fadab8,1362,2024-11-20 06:07:57,Product Catalog,view,3.425203952663227
c2551b30-a02f-4f26-b7e4-3a659816cfaf,1865,2024-10-09 14:08:35,Home,click,3.127709850160625
a4656f0f-66e4-40ba-bd00-74c7ca58ba45,1414,2024-02-06 02:44:48,Home,click,2.631819696410079
0b49095a-cdfe-4ddd-a8c4-c0c275145204,254,2024-02-27 21:40:55,Home,click,4.059520967271651
a3e9cac3-aa32-40fe-82b9-c02a8f82528b,995,2024-11-18 20:45:21,Home,view,2.992821159472895
0d17959e-3672-4cd6-9373-bbe1a08d4387,411,2024-02-20 22:14:48,Home,view,0.6628257812595324
3a13d24a-7550-49a9-9551-98ae12cdf25a,483,2024-02-03 15:25:46,Home,view,4.87338875357368
672f3507-5ea3-4182-9d7d-36f9aa9a1b65,1020,2024-05-02 06:44:19,Home,click,3.5874528254808253
e2a8e1b3-f035-4949-bf4c-dcdb659f2696,1784,2024-09-11 14:53:55,Cart,click,3.8518848441925453
c9b3d649-381f-4ace-88f5-fc1ed13b6862,1315,2024-06-25 21:25:21,Home,click,2.326768754624828
e2ca947d-dd86-4c59-86b1-463d4f5fd6ab,972,2024-10-24 02:01:06,Home,click,2.5816243364221965
67d35e80-571e-44ac-ba77-82afa8f21e3d,1713,2024-05-09 14:20:29,Home,view,2.956480926954231
0199407c-a7b8-4eca-b260-01613002c40a,580,2024-07-22 11:46:56,Home,view,3.7011245921662117
75ca268b-dcfc-42e6-a961-cc39fbdaaa02,612,2024-03-04 21:03:14,Home,click,3.630422800462511
716e2767-65a2-4839-aeb7-94edae98d983,1473,2024-07-18 03:02:26,Home,click,1.1302189525192432
8ae9e893-8895-41e2-bb44-4702cd06c91f,118,2024-09-06 12:28:45,Home,view,4.802180370680503
ea3d7799-8711-4a8b-923b-238aebf16dd6,1332,2024-06-23 06:53:25,Cart,view,2.086425298713871
525502ad-e315-4681-a94a-4a614c9c596b,1556,2024-11-23 22:16:05,Product Catalog,view,4.569931612870729
269ff1b4-82f0-494d-a0c3-67f169c5405b,1430,2024-02-20 20:40:45,Home,click,3.19234312673669
b163bda1-bdef-4cce-aa46-0e60a3e3628f,476,2024-01-03 13:40:30,Home,click,3.7600954627569236
54207051-824f-4ec3-a9a3-e78dfd9c5c98,1884,2024-07-26 09:29:31,Home,view,3.8274549359987797
fcee8b5e-51c2-4873-8d4c-5a51c56f3c2c,1364,2024-06-17 17:54:08,Home,view,3.2520115138939603
