order_id,date,store_id,item_id,account_id,quantity,discount,status
1000,2024-06-16,9,8,1,77.64004478871874,30.0,Shipped
1001,2024-04-25,6,8,5,38.0,24.0,Shipped
1002,2024-01-13,1,6,8,54.00179997283234,23.0,Shipped
1003,2023-02-10,3,10,1,122.6835696564067,20.0,Shipped
1004,2023-06-01,5,4,3,111.23269289111771,22.0,Shipped
1005,2024-12-10,10,10,3,97.4120242600037,17.0,Shipped
1006,2024-07-30,1,1,7,106.69101061733976,17.0,Shipped
1007,2023-07-25,1,2,1,63.857290464757185,18.0,Shipped
1008,2023-09-26,9,2,7,36.0,18.0,Pending
1009,2024-08-15,9,5,10,64.71067747630688,18.0,Shipped
1010,2024-03-23,9,10,1,70.0,32.0,Shipped
1011,2023-11-16,1,2,10,45.0,23.0,Shipped
1012,2024-05-16,7,5,5,96.0,23.0,Shipped
1013,2023-10-21,9,7,2,31.0,26.0,Shipped
1014,2023-06-20,1,3,8,66.41138240985072,17.0,Shipped
1015,2023-09-14,9,8,1,36.0,29.0,Shipped
1016,2024-01-18,4,3,4,6.093038690949303,31.0,Pending
1017,2024-01-03,2,7,10,56.24636342754942,23.0,Shipped
1018,2023-01-08,3,10,3,118.6675527657832,20.0,Shipped
1019,2023-04-06,8,4,4,52.0,19.0,Shipped
1020,2023-11-27,5,9,10,86.0,15.0,Shipped
1021,2023-06-21,7,5,8,98.47183098338303,24.0,Shipped
1022,2023-09-06,5,10,8,66.0,15.0,Shipped
1023,2024-11-19,2,3,10,17.0,23.0,Shipped
1024,2024-01-19,1,3,10,90.03806240777635,28.0,Pending
1025,2024-04-24,2,7,3,27.0,26.0,Shipped
1026,2023-09-08,9,5,5,54.0,24.0,Shipped
1027,2023-11-11,1,6,7,95.0,23.0,Shipped
1028,2024-05-28,9,2,10,59.0,11.0,Shipped
1029,2024-10-03,10,5,10,1.0,15.0,Shipped
1030,2023-06-15,6,4,6,54.10496252738448,25.0,Shipped
1031,2024-02-06,8,1,2,88.49731591826459,22.0,Shipped
1032,2024-09-29,6,3,7,1.0,22.0,Shipped
1033,2023-04-21,5,6,3,62.0,17.0,Shipped
1034,2023-10-03,8,8,4,57.0,19.0,Pending
1035,2024-08-16,9,5,2,71.52982143507376,18.0,Shipped
1036,2023-05-08,6,10,1,46.0,27.0,Shipped
1037,2023-05-12,2,10,8,78.0,14.0,Shipped
1038,2023-07-19,3,9,10,38.689551011839,16.0,Shipped
